"rowid","fpl_hostname","fpl_name","fpl_disc","fpl_orbper","fpl_rads","fst_dist","fst_logg","cluster","simil"
"1226","K2-50","K2-50 b","2016","8.7529","0.015","259.33","4.74","0","0.9953503018612854"
"1227","K2-52","K2-52 b","2016","3.535055","0.165","1041.7","3.98","0","0.9546910727056975"
"1228","K2-53","K2-53 b","2016","12.20772","0.024","139.1","4.55","0","0.9867669845153063"
"1229","K2-54","K2-54 b","2016","9.7843","0.011000000000000001","175.84","4.89","0","0.9899661874173665"
"1230","K2-55","K2-55 b","2016","2.849258","0.035","160.26","4.67","0","0.9887085234113666"
"1231","K2-57","K2-57 b","2016","9.0063","0.019","266.23","4.68","0","0.9902290862323528"
"1232","K2-58","K2-58 b","2016","7.05254","0.025","182.69","4.52","0","0.9862742845514776"
"1233","K2-58","K2-58 c","2016","2.53726","0.015","182.69","4.52","0","0.9863568908328674"
"1234","K2-58","K2-58 d","2016","22.8827","0.016","182.69","4.52","0","0.9863526814154824"
"1235","K2-59","K2-59 b","2016","20.6921","0.022000000000000002","314.09","4.59","0","0.9892740489477583"
"1236","K2-59","K2-59 c","2016","11.2954","0.021","314.09","4.59","0","0.9892844896460528"
"1237","K2-6","K2-6 b","2015","30.94191","0.023","319.59","4.4","0","0.9900767371462217"
"1238","K2-60","K2-60 b","2016","3.00265","0.07","498.7","4.07","0","0.9524867559333122"
"1239","K2-61","K2-61 b","2016","2.57302","0.023","410.35","4.25","0","0.9797547195325732"
"1240","K2-62","K2-62 b","2016","6.67202","0.02","112.83","4.6","0","0.9878477756339517"
"1241","K2-62","K2-62 c","2016","16.1966","0.02","112.83","4.6","0","0.9878477783523955"
"1242","K2-63","K2-63 b","2016","20.257","0.03","524.41","4.15","0","0.981155724908913"
"1243","K2-63","K2-63 c","2016","25.4556","0.036000000000000004","524.41","4.15","0","0.9810373448053438"
"1244","K2-64","K2-64 b","2016","6.53044","0.019","506.87","4.58","0","0.9897501287183992"
"1245","K2-65","K2-65 b","2016","12.6475","0.013999999999999999","78.06","4.53","0","0.9853021067719345"
"1246","K2-66","K2-66 b","2016","5.06963","0.023","520.43","4.03","0","0.9794407989468922"
"1247","K2-68","K2-68 b","2016","8.05428","0.013999999999999999","169.47","4.63","0","0.9905763739161175"
"1248","K2-69","K2-69 b","2016","7.06599","0.021","181.63","4.79","0","0.991550434009272"
"1249","K2-7","K2-7 b","2015","28.67992","0.024","754.64","3.82","0","0.9776993490491577"
"1250","K2-70","K2-70 b","2016","13.97896","0.026000000000000002","234.47","4.48","0","0.9882068901318692"
"1251","K2-71","K2-71 b","2016","6.98541","0.02","153.86","4.85","0","0.9915187832705675"
"1252","K2-72","K2-72 b","2016","5.577212","0.01","66.56","5.05","0","0.9898976428362309"
"1253","K2-72","K2-72 c","2016","15.189034","0.011000000000000001","66.56","5.05","0","0.9898966804367866"
"1254","K2-72","K2-72 d","2016","7.760178","0.009000000000000001","66.56","5.05","0","0.9898981373601402"
"1255","K2-72","K2-72 e","2016","24.158868","0.012","66.56","5.05","0","0.9898943166285434"
"1256","K2-73","K2-73 b","2016","7.49543","0.022000000000000002","271.27","4.41","0","0.986170686201149"
"1257","K2-74","K2-74 b","2016","19.5666","0.021","381.85","4.44","0","0.9872133397021472"
"1258","K2-75","K2-75 b","2016","7.8142","0.024","570.86","4.12","0","0.9735074595218323"
"1259","K2-75","K2-75 c","2016","18.311","0.025","570.86","4.12","0","0.9734970297732165"
"1260","K2-77","K2-77 b","2016","8.199796","0.021","142.31","4.47","0","0.9755098652467885"
"1261","K2-79","K2-79 b","2016","10.99573","0.034","257.9","4.25","0","0.9844969800661917"
"1262","K2-8","K2-8 b","2015","10.35239","0.033","407.93","4.52","0","0.992594831226932"
"1263","K2-8","K2-8 c","2016","5.06416","0.022000000000000002","407.93","4.52","0","0.9927534717371524"
"1264","K2-80","K2-80 b","2016","19.0918","0.018000000000000002","201.96","4.52","0","0.9926829240567171"
"1265","K2-80","K2-80 c","2016","5.605","0.013000000000000001","201.96","4.52","0","0.99270935251491"
"1266","K2-80","K2-80 d","2018","28.867253","0.023","201.96","4.52","0","0.9926375836087222"
