"rowid","fpl_hostname","fpl_letter","fpl_name","fpl_discmethod","fpl_controvflag","fpl_disc","fpl_orbper","fpl_smax","fpl_eccen","fpl_bmasse","fpl_bmassj","fpl_bmassprov","fpl_rade","fpl_radj","fpl_rads","fpl_dens","fpl_eqt","fpl_insol","fpl_tranflag","fpl_cbflag","fpl_snum","ra_str","ra","dec_str","dec","fst_dist","fst_optmag","fst_optmagband","fst_nirmag","fst_nirmagband","fst_spt","fst_teff","fst_logg","fst_lum","fst_mass","fst_rad","fst_met","fst_metratio","fst_age"
"20","42 Dra","b","42 Dra b","Radial Velocity","0","2008","479.1","1.19","0.38","1233.13","3.88","Msini","13","1.16","0.11900000000000001","3.08","","","0","0","1","18h25m59.14s","276.496399","+65d33m48.5s","65.563484","90.86","4.82","V (Johnson)","2.085","Ks (2MASS)","K1.5 III","4200","1.71","2.155","0.98","22.03","-0.46","[Fe/H]","9.49"
"21","47 UMa","b","47 UMa b","Radial Velocity","0","1996","1078","2.1","0.032","804.08","2.53","Msini","13.2","1.18","0.121","1.92","","","0","0","1","10h59m27.97s","164.86656200000002","+40d25m48.9s","40.430256","13.8","5.05","V (Johnson)","3.75","Ks (2MASS)","G0 V","5892","4.27","0.21600000000000003","1.03","1.23","0","[Fe/H]","7.3"
"22","47 UMa","c","47 UMa c","Radial Velocity","0","2001","2391","3.6","0.098","171.621","0.54","Msini","14.2","1.27","0.13","0.329","","","0","0","1","10h59m27.97s","164.86656200000002","+40d25m48.9s","40.430256","13.8","5.05","V (Johnson)","3.75","Ks (2MASS)","G0 V","5892","4.27","0.21600000000000003","1.03","1.23","0","[Fe/H]","7.3"
"23","47 UMa","d","47 UMa d","Radial Velocity","0","2009","14002","11.6","0.16","521.22","1.64","Msini","13.5","1.2","0.124","1.16","","","0","0","1","10h59m27.97s","164.86656200000002","+40d25m48.9s","40.430256","13.8","5.05","V (Johnson)","3.75","Ks (2MASS)","G0 V","5892","4.27","0.21600000000000003","1.03","1.23","0","[Fe/H]","7.3"
"24","51 Eri","b","51 Eri b","Imaging","0","2015","11688","12","0.45","635.66","2","Mass","13.4","1.19","0.12300000000000001","1.45","700","","0","0","3","04h37m36.13s","69.40055100000001","-02d28m24.8s","-2.473548","29.4","5.23","V (Johnson)","4.537","Ks (2MASS)","F0 IV","7190.1","4.354839473684218","0.85","1.75","1.56","-0.027000000000000003","[M/H]","0.02"
"25","51 Peg","b","51 Peg b","Radial Velocity","0","1995","4.230785","0.0527","0.013","146.2018","0.46","Mass","14.3","1.27","0.131","0.275","","","0","0","1","22h57m27.98s","344.366577","+20d46m07.8s","20.768832999999997","15.47","5.5","V (Johnson)","3.911","Ks (2MASS)","G2.5 IV","5793","4.33","0.147","1.12","1.2","0.2","[Fe/H]","4"
"26","55 Cnc","b","55 Cnc b","Radial Velocity","0","1996","14.65152","0.115227","0.0034","263.9785","0.8306","Mass","13.9","1.24","0.128","0.54","700","","0","0","2","08h52m35.81s","133.149216","+28d19m50.9s","28.330818","12.59","5.96","V (Johnson)","4.015","Ks (2MASS)","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2"
"27","55 Cnc","c","55 Cnc c","Radial Velocity","0","2004","44.4175","0.24137600000000003","0.02","54.4738","0.1714","Mass","8.51","0.76","0.078","0.486","","","0","0","2","08h52m35.81s","133.149216","+28d19m50.9s","28.330818","12.59","5.96","V (Johnson)","4.015","Ks (2MASS)","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2"
"28","55 Cnc","d","55 Cnc d","Radial Velocity","0","2002","4825","5.503","0.019","1232.493","3.878","Mass","13","1.16","0.11900000000000001","3.08","","","0","0","2","08h52m35.81s","133.149216","+28d19m50.9s","28.330818","12.59","5.96","V (Johnson)","4.015","Ks (2MASS)","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2"
"29","55 Cnc","e","55 Cnc e","Radial Velocity","0","2004","0.736539","0.01544","0.028","8.08","0.025419999999999998","Mass","1.91","0.17","0.018000000000000002","6.4","1958","","1","0","2","08h52m35.81s","133.149216","+28d19m50.9s","28.330818","12.59","5.96","V (Johnson)","4.015","Ks (2MASS)","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2"
"30","55 Cnc","f","55 Cnc f","Radial Velocity","0","2007","262","0.788","0.305","44.812","0.141","Mass","7.59","0.677","0.07","0.563","","","0","0","2","08h52m35.81s","133.149216","+28d19m50.9s","28.330818","12.59","5.96","V (Johnson)","4.015","Ks (2MASS)","G8 V","5196","4.45","-0.235","0.91","0.94","0.31","[Fe/H]","10.2"
"31","6 Lyn","b","6 Lyn b","Radial Velocity","0","2008","934.3","2.11","0.073","638.8383","2.01","Msini","13.4","1.19","0.12300000000000001","1.46","","","0","0","1","06h30m47.11s","97.696281","+58d09m45.5s","58.162631999999995","54.74","5.86","V (Johnson)","3.701","Ks (2MASS)","K0 III-IV","4938","3.19","1.156","1.44","5.2","-0.1","[Fe/H]","2.353"
"32","61 Vir","b","61 Vir b","Radial Velocity","0","2009","4.215","0.050200999999999996","0.12","5.1","0.016","Msini","2.11","0.188","0.019","2.98","","","0","0","1","13h18m24.32s","199.601318","-18d18m40.3s","-18.311195","8.51","4.74","V (Johnson)","2.9560000000000004","Ks (2MASS)","G5 V","5577","4.34","-0.095","0.94","0.96","-0.01","[Fe/H]","8.96"
"33","61 Vir","c","61 Vir c","Radial Velocity","0","2009","38.021","0.2175","0.14","18.2","0.057","Msini","4.46","0.39799999999999996","0.040999999999999995","1.13","","","0","0","1","13h18m24.32s","199.601318","-18d18m40.3s","-18.311195","8.51","4.74","V (Johnson)","2.9560000000000004","Ks (2MASS)","G5 V","5577","4.34","-0.095","0.94","0.96","-0.01","[Fe/H]","8.96"
"34","61 Vir","d","61 Vir d","Radial Velocity","0","2009","123.01","0.476","0.35","22.9","0.072","Msini","5.11","0.456","0.047","0.943","","","0","0","1","13h18m24.32s","199.601318","-18d18m40.3s","-18.311195","8.51","4.74","V (Johnson)","2.9560000000000004","Ks (2MASS)","G5 V","5577","4.34","-0.095","0.94","0.96","-0.01","[Fe/H]","8.96"
"35","7 CMa","b","7 CMa b","Radial Velocity","0","2011","796","1.93","0.22","781.8618","2.46","Msini","13.3","1.18","0.122","1.83","","","0","0","1","06h36m41.04s","99.17099","-19d15m21.2s","-19.255878","19.82","3.92","V (Johnson)","1.564","Ks (2MASS)","K1 III","4792","3.25","1.053","1.52","2.3","0.21","[Fe/H]","4.236718483690839"
"36","70 Vir","b","70 Vir b","Radial Velocity","0","1996","116.688","0.481","0.3988","2380.45","7.49","Mass","12.6","1.13","0.11599999999999999","6.54","","","0","0","1","13h28m25.81s","202.107544","+13d46m43.6s","13.778788","17.91","4.97","V (Johnson)","3.5","Ks (2MASS)","G4 V","5495","3.95","0.48700000000000004","1.09","1.89","-0.11","[Fe/H]","7.92"
"37","75 Cet","b","75 Cet b","Radial Velocity","0","2012","691.9","2.1","0.117","953.49","3","Msini","13.1","1.17","0.121","2.33","","","0","0","1","02h32m09.42s","38.039253","-01d02m05.6s","-1.0348959999999998","83.15","5.35","V (Johnson)","3.207","Ks (2MASS)","G3 III","4846","2.63","1.73","2.49","10.5","0","[Fe/H]","4.236718483690839"
"38","8 UMi","b","8 UMi b","Radial Velocity","0","2015","93.4","0.49","0.06","416.3573","1.31","Msini","13.6","1.22","0.125","0.91","","","0","0","1","14h56m48.35s","224.201477","+74d54m03.3s","74.900925","163.32","6.83","V (Johnson)","4.515","Ks (2MASS)","K0","4847","2.57","1.725","1.44","10.3","-0.03","[Fe/H]","1.7"
"39","81 Cet","b","81 Cet b","Radial Velocity","0","2008","952.7","2.5","0.206","1684.4","5.3","Msini","12.8","1.14","0.11800000000000001","4.41","","","0","0","1","02h37m41.80s","39.424168","-03d23m46.2s","-3.396175","101.53","5.65","V (Johnson)","3.266","Ks (2MASS)","G5 III","4785","2.35","1.778","2.4","11","-0.06","[Fe/H]","4.236718483690839"
"40","91 Aqr","b","91 Aqr b","Radial Velocity","0","2013","181.4","0.7","0.027","1017","3.2","Msini","13.1","1.17","0.12","2.49","","","0","0","1","23h15m53.50s","348.9729","-09d05m15.9s","-9.087736999999999","44.08","4.25","V (Johnson)","1.597","Ks (2MASS)","K0 III","4665","2.52","1.692","1.4","11","-0.03","[Fe/H]","3.56"
"41","AB Pic","b","AB Pic b","Imaging","0","2005","2319.5392238828044","260","","4290.5","13.5","Mass","12.3","1.1","0.113","12.7","","","0","0","1","06h19m12.91s","94.803802","-58d03m15.5s","-58.05431","50.12","9.128","V (Johnson)","6.981","Ks (2MASS)","K2 V","5378","4.44","-0.226","0.9","1","-0.05","[Fe/H]","0.03"
"42","BD+03 2562","b","BD+03 2562 b","Radial Velocity","0","2017","481.9","1.3","0.2","2034.112","6.4","Msini","12.7","1.13","0.11699999999999999","5.46","","","0","0","1","11h50m15.55s","177.564804","+02d45m36.5s","2.7601419999999997","2618","9.58","V (Johnson)","6.021","Ks (2MASS)","","4095","1.89","2.7","1.14","32.35","-0.71","[Fe/H]","5.2"
"43","BD+14 4559","b","BD+14 4559 b","Radial Velocity","0","2009","268.94","0.78","0.29","330.5432","1.04","Msini","13.8","1.23","0.126","0.691","","","0","0","1","21h13m35.99s","318.399963","+14d41m21.8s","14.689387","49.42","9.63","V (Johnson)","7.336","Ks (2MASS)","K2 V","4864","4.26","-0.424","0.49","0.86","0.17","[Fe/H]","4.236718483690839"
"44","BD+15 2375","b","BD+15 2375 b","Radial Velocity","0","2016","153.22","0.576","0.001","337.21763","1.061","Msini","13.8","1.23","0.126","0.705","","","0","0","1","11h45m55.72s","176.482174","+14d36m59.0s","14.616381","774","10.31","V (Johnson)","7.718","Ks (2MASS)","G5","4649","2.61","1.57","1.08","8.95","-0.22","[Fe/H]","7.41"
"45","BD+15 2940","b","BD+15 2940 b","Radial Velocity","0","2013","137.48","0.539","0.26","352.78","1.11","Msini","13.7","1.23","0.126","0.754","","","0","0","1","16h00m22.94s","240.09556600000002","+15d32m48.9s","15.54693","431.61","9.046","V (Johnson)","6.525","Ks (2MASS)","K0","4796","2.8","2.01","1.1","14.7","0.28","[Fe/H]","7.1"
"46","BD+20 2457","b","BD+20 2457 b","Radial Velocity","0","2009","379.63","1.05","0.15","17668.1697","55.59","Msini","11.6","1.03","0.106","62.2","","","0","0","1","10h16m44.86s","154.18691","+19d53m29.1s","19.891409","1670.85","9.75","V (Johnson)","6.42","Ks (2MASS)","K2 II","4259","1.77","2.7680000000000002","10.83","71.02","-0.79","[Fe/H]","4.236718483690839"
"47","BD+20 2457","c","BD+20 2457 c","Radial Velocity","0","2009","621.99","2.01","0.18","3963.17","12.47","Msini","12.4","1.1","0.113","11.4","","","0","0","1","10h16m44.86s","154.18691","+19d53m29.1s","19.891409","1670.85","9.75","V (Johnson)","6.42","Ks (2MASS)","K2 II","4259","1.77","2.7680000000000002","10.83","71.02","-0.79","[Fe/H]","4.236718483690839"
"48","BD+20 274","b","BD+20 274 b","Radial Velocity","0","2012","578.2","1.3","0.21","1334.886","4.2","Msini","13","1.16","0.11900000000000001","3.34","","","0","0","1","01h43m40.88s","25.920324","+21d00m19.1s","21.005314000000002","1383.85","9.36","V (Johnson)","6.169","Ks (2MASS)","K5 III","4296","1.99","1.96","0.8","17.3","-0.46","[Fe/H]","4.236718483690839"
"49","BD+20 594","b","BD+20 594 b","Transit","0","2016","41.6855","0.241","0","22.2481","0.07","Mass","2.5780000000000003","0.23","0.024","7.89","546","","1","0","1","03h34m36.23s","53.650967","+20d35m57.2s","20.599232","180.39","11.038","V (Johnson)","9.368","Ks (2MASS)","G","5766","4.5","0.05","1.67","1.08","-0.15","[Fe/H]","3.34"
"50","BD+48 738","b","BD+48 738 b","Radial Velocity","0","2011","392.6","1","0.2","289.2253","0.91","Msini","13.9","1.24","0.127","0.592","","","0","0","1","02h42m50.45s","40.710224","+49d35m13.1s","49.58696","892.17","9.14","V (Johnson)","5.904","Ks (2MASS)","K0 III","4414","2.24","1.69","0.74","11","-0.2","[Fe/H]","4.236718483690839"
"51","BD+48 740","b","BD+48 740 b","Radial Velocity","0","2018","733","1.7","0.76","540.311","1.7","Msini","13.5","1.2","0.124","1.21","","","0","0","1","02h42m58.22s","40.742569","+48d55m48.2s","48.930061","678.94","8.699","V (Johnson)","5.645","Ks (2MASS)","K3 III","4534","2.48","1.64","1.09","10.33","-0.13","[Fe/H]","4.236718483690839"
"52","BD+49 828","b","BD+49 828 b","Radial Velocity","0","2015","2590","4.2","0.35","508.5","1.6","Msini","13.5","1.21","0.124","1.14","","","0","0","1","03h02m33.73s","45.640529","+49d43m48.0s","49.730011","447.59","9.38","V (Johnson)","6.571000000000001","Ks (2MASS)","K0","4943","2.85","1.47","1.52","7.6","-0.19","[Fe/H]","2.34"
